nodes	module
Axestotrigona_ferruginea	4
Frieseomelitta_longipes	2
Frieseomelitta_silvestrii	2
Frieseomelitta_varia	1
Geniotrigona_thoracica	3
Heterotrigona_erythrogastra	3
Heterotrigona_hobbyi	3
Heterotrigona_itama	3
Homotrigona_apicalis	3
Homotrigona_binghami	3
Homotrigona_canifrons	3
Homotrigona_fimbriata	3
Homotrigona_haematoptera	3
Homotrigona_melanoleuca	3
Lepidotrigona_ventralis	3
Lestrimelitta_limao	1
Lisotrigona_cacciae	2
Lisotrigona_carpenteri	2
Lisotrigona_furva	2
Melipona_beecheii	1
Melipona_compressipes	2
Melipona_fasciculata	6
Melipona_favosa	2
Melipona_flavolineata	6
Melipona_mandacaia	4
Melipona_marginata	4
Melipona_quadrifasciata	1
Melipona_scutellaris	2
Melipona_seminigra	6
Melipona_seminigra_merrillae	6
Melipona_subnitida	6
Nannotrigona_testaceicornis	1
Paratrigona_anduzei	2
Plebeia_droryana	3
Plebeia_emerina	6
Plebeia_frontalis	6
Plebeia_lucii	2
Plebeia_remota	4
Scaptotrigona_bipunctata	3
Scaptotrigona_depilis	2
Scaptotrigona_postica	6
Scaptotrigona_sp.	1
Tetragona_clavipes	3
Tetragonisca_angustula	1
Tetragonisca_fiebrigi	4
Tetragonula_atripes	3
Tetragonula_biroi	6
Tetragonula_carbonaria	4
Tetragonula_collina	3
Tetragonula_fuscobalteata	3
Tetragonula_geissleri	3
Tetragonula_hockingsi	4
Tetragonula_iridipennis	5
Tetragonula_laeviceps	3
Tetragonula_melanocephala	3
Tetragonula_melina	3
Tetragonula_minor	1
Tetragonula_pagdeni	2
Tetragonula_reepeni	3
Tetragonula_rufibasalis	3
Tetragonula_sapiens	4
Trigona_corvina	6
Trigona_fulviventris	6
Trigona_recursa	1
Trigona_spinipes	2
Trigona_ungulata	1
Trigona_williana	3
Wallacetrigona_incisa	1
Acanthaceae	5
Altingiaceae	1
Amaranthaceae	1
Anacardiaceae	1
Apiaceae	1
Apocynaceae	5
Aquifoliaceae	6
Araliaceae	1
Araucariaceae	3
Arecaceae	6
Asparagaceae	2
Asphodelaceae	4
Asteraceae	1
Begoniaceae	1
Bignoniaceae	1
Bombacaceae	1
Boraginaceae	1
Brassicaceae	5
Bryophyta	1
Bursearceae	3
Burseraceae	6
Cactaceae	6
Caesalpiniaceae	1
Calophyllaceae	2
Campanulaceae	1
Cannabaceae	1
Caricaceae	5
Caryocaraceae	6
Caryophyllaceae	4
Cecropiaceae	4
Chenopodiaceae	1
Chrysobalanaceae	6
Cleomaceae	5
Clethraceae	1
Clusiaceae	2
Combretaceae	1
Commelinaceae	1
Connaraceae	6
Convolvulaceae	6
Cornaceae	5
Cucurbitaceae	5
Cupressaceae	4
Cyperaceae	1
Dilleniaceae	1
Dipterocarpaceae	3
Euphorbiaceae	6
Fabaceae	6
Flacourtiaceae	6
Gentianaceae	6
Gesneriaceae	1
Humiriaceae	1
Hypericaceae	2
Iridaceae	6
Lacistemaceae	6
Lamiaceae	6
Lauraceae	6
Leguminosae	4
Loranthaceae	1
Lythraceae	6
Malpighiaceae	6
Malvaceae	5
Melastomataceae	6
Meliaceae	6
Menispermaceae	6
Mimosaceae	6
Moraceae	1
Moringaceae	5
Myristicaceae	3
Myrsinaceae	6
Myrtaceae	4
Nyctaginaceae	1
Ochnaceae	6
Onagraceae	1
Orchidaceae	3
Oxalidaceae	1
Papaveraceae	5
Pedaliaceae	5
Phyllanthaceae	6
Phytolaccaceae	1
Pinaceae	4
Piperaceae	1
Poaceae	1
Podocarpaceae	2
Polygonaceae	1
Pontederiaceae	6
Primulaceae	6
Rhamnaceae	1
Rosaceae	6
Rubiaceae	6
Rutaceae	1
Salicaceae	6
Sapindaceae	6
Sapotaceae	5
Scrophulariaceae	1
Simaroubaceae	6
Solanaceae	1
Sterculiaceae	1
Typhaceae	1
Ulmaceae	5
Urticaceae	1
Vochysiaceae	1
