Col_names	Nivel_1
1	Altingiaceae	8
2	Anacardiaceae	3
3	Apocynaceae	6
4	Araucariaceae	4
5	Asparagaceae	3
6	Asphodelaceae	4
7	Asteraceae	3
8	Bursearceae	2
9	Burseraceae	2
10	Calophyllaceae	7
11	Campanulaceae	3
12	Caricaceae	6
13	Cleomaceae	6
14	Clusiaceae	7
15	Cupressaceae	4
16	Dipterocarpaceae	2
17	Euphorbiaceae	6
18	Fabaceae	6
19	Hypericaceae	3
20	Leguminosae	8
21	Lythraceae	1
22	Malvaceae	6
23	Meliaceae	4
24	Moraceae	6
25	Moringaceae	6
26	Myristicaceae	2
27	Myrtaceae	4
28	Orchidaceae	5
29	Papaveraceae	6
30	Pinaceae	4
31	Podocarpaceae	3
32	Rosaceae	1
33	Salicaceae	8
34	Sapotaceae	6
