nodes	module
Axestotrigona_ferruginea	5
Frieseomelitta_longipes	9
Frieseomelitta_silvestrii	4
Frieseomelitta_varia	9
Geniotrigona_thoracica	3
Heterotrigona_erythrogastra	3
Heterotrigona_hobbyi	3
Heterotrigona_itama	6
Homotrigona_apicalis	3
Homotrigona_binghami	3
Homotrigona_canifrons	3
Homotrigona_fimbriata	3
Homotrigona_haematoptera	3
Homotrigona_melanoleuca	3
Lepidotrigona_ventralis	3
Lisotrigona_cacciae	6
Lisotrigona_carpenteri	6
Lisotrigona_furva	6
Melipona_beecheii	5
Melipona_compressipes	9
Melipona_fasciculata	7
Melipona_favosa	9
Melipona_marginata	5
Melipona_quadrifasciata	4
Melipona_scutellaris	4
Melipona_seminigra_merrillae	9
Paratrigona_anduzei	9
Plebeia_droryana	4
Plebeia_emerina	4
Plebeia_frontalis	6
Plebeia_lucii	9
Plebeia_remota	5
Scaptotrigona_bipunctata	4
Scaptotrigona_depilis	9
Scaptotrigona_postica	10
Scaptotrigona_sp.	6
Tetragona_clavipes	6
Tetragonisca_angustula	4
Tetragonisca_fiebrigi	6
Tetragonula_atripes	3
Tetragonula_biroi	1
Tetragonula_carbonaria	5
Tetragonula_collina	3
Tetragonula_fuscobalteata	3
Tetragonula_geissleri	3
Tetragonula_hockingsi	5
Tetragonula_iridipennis	2
Tetragonula_laeviceps	3
Tetragonula_melanocephala	3
Tetragonula_melina	3
Tetragonula_minor	6
Tetragonula_pagdeni	6
Tetragonula_reepeni	3
Tetragonula_rufibasalis	3
Tetragonula_sapiens	6
Trigona_corvina	6
Trigona_fulviventris	6
Trigona_spinipes	9
Trigona_williana	8
Wallacetrigona_incisa	6
Acacia	6
Agathis	3
Albizia	2
Alstonia	2
Anacardium	6
Araucaria	5
Argemone	2
Artocarpus	2
Baccharis	6
Baeckea	6
Bombax	2
Butea	2
Callitris	5
Calotropis	2
Canarium	3
Carica	2
Cascabela	2
Catharanthus	2
Ceiba	2
Cleome	2
Clusia	9
Corymbia	5
Cratoxylum	6
Croton	6
Dacrydium	4
Dacryodes	3
Dipterocarpus	3
Dracaena	6
Dryobalanops	3
Eucalyptus	5
Euphorbia	4
Ficus	2
Fragaria	7
Garcinia	6
Gluta	3
Glycyrrhiza	1
Heterotaxis	8
Hopea	3
Horsfieldia	3
Jatropha	2
Kielmeyera	4
Knema	3
Lannea	2
Liquidambar	5
Lobelia	4
Lophostemon	5
Macaranga	1
Mangifera	6
Melia	5
Mimosa	10
Mimusops	2
Moringa	2
Morus	7
Parashorea	3
Pinus	5
Populus	5
Pterocarpus	9
Punica	7
Rubs	7
Schinus	4
Senna	2
Shorea	3
Spondias	2
Syncarpia	5
Tabernaemontana	2
Vachellia	2
Vatica	3
Xanthorrhoea	5
Zygia	9
