Row_names	Nivel_1
1	Acanthaceae	5
2	Altingiaceae	1
3	Amaranthaceae	1
4	Anacardiaceae	1
5	Apiaceae	1
6	Apocynaceae	5
7	Aquifoliaceae	6
8	Araliaceae	1
9	Araucariaceae	3
10	Arecaceae	6
11	Asparagaceae	2
12	Asphodelaceae	4
13	Asteraceae	1
14	Begoniaceae	1
15	Bignoniaceae	1
16	Bombacaceae	1
17	Boraginaceae	1
18	Brassicaceae	5
19	Bryophyta	1
20	Bursearceae	3
21	Burseraceae	6
22	Cactaceae	6
23	Caesalpiniaceae	1
24	Calophyllaceae	2
25	Campanulaceae	1
26	Cannabaceae	1
27	Caricaceae	5
28	Caryocaraceae	6
29	Caryophyllaceae	4
30	Cecropiaceae	4
31	Chenopodiaceae	1
32	Chrysobalanaceae	6
33	Cleomaceae	5
34	Clethraceae	1
35	Clusiaceae	2
36	Combretaceae	1
37	Commelinaceae	1
38	Connaraceae	6
39	Convolvulaceae	6
40	Cornaceae	5
41	Cucurbitaceae	5
42	Cupressaceae	4
43	Cyperaceae	1
44	Dilleniaceae	1
45	Dipterocarpaceae	3
46	Euphorbiaceae	6
47	Fabaceae	6
48	Flacourtiaceae	6
49	Gentianaceae	6
50	Gesneriaceae	1
51	Humiriaceae	1
52	Hypericaceae	2
53	Iridaceae	6
54	Lacistemaceae	6
55	Lamiaceae	6
56	Lauraceae	6
57	Leguminosae	4
58	Loranthaceae	1
59	Lythraceae	6
60	Malpighiaceae	6
61	Malvaceae	5
62	Melastomataceae	6
63	Meliaceae	6
64	Menispermaceae	6
65	Mimosaceae	6
66	Moraceae	1
67	Moringaceae	5
68	Myristicaceae	3
69	Myrsinaceae	6
70	Myrtaceae	4
71	Nyctaginaceae	1
72	Ochnaceae	6
73	Onagraceae	1
74	Orchidaceae	3
75	Oxalidaceae	1
76	Papaveraceae	5
77	Pedaliaceae	5
78	Phyllanthaceae	6
79	Phytolaccaceae	1
80	Pinaceae	4
81	Piperaceae	1
82	Poaceae	1
83	Podocarpaceae	2
84	Polygonaceae	1
85	Pontederiaceae	6
86	Primulaceae	6
87	Rhamnaceae	1
88	Rosaceae	6
89	Rubiaceae	6
90	Rutaceae	1
91	Salicaceae	6
92	Sapindaceae	6
93	Sapotaceae	5
94	Scrophulariaceae	1
95	Simaroubaceae	6
96	Solanaceae	1
97	Sterculiaceae	1
98	Typhaceae	1
99	Ulmaceae	5
100	Urticaceae	1
101	Vochysiaceae	1
